
node  W     E     N     S
-----------------------------
1      0     7     2     0    
2      0     7     3     1    
3      0     8     4     2    
4      0     6     5     3    
5      0     6     0     4    
6      4     13    11    8    
7      2     14    9     10   
8      3     12    6     9    
9      3     12    8     7    
10     1     15    7     0    
11     5     16    0     6    
12     9     17    13    14   
13     6     18    11    12   
14     7     19    12    10   
15     10    20    14    0    
16     11    21    0     18   
17     12    22    18    19   
18     13    24    16    17   
19     14    23    17    15   
20     15    26    23    0    
21     16    27    0     18   
22     17    25    24    19   
23     19    29    25    20   
24     18    28    21    22   
25     22    30    28    23   
26     20    31    29    0    
27     21    32    0     28   
28     24    33    27    30   
29     23    34    30    31   
30     25    35    28    29   
31     26    36    29    0    
32     27    37    0     28   
33     28    38    37    35   
34     29    41    35    36   
35     30    38    33    34   
36     31    42    41    0    
37     32    46    0     40   
38     35    44    40    39   
39     35    44    38    41   
40     33    45    37    38   
41     34    43    39    36   
42     41    0     43    0    
43     41    0     44    42   
44     39    0     45    43   
45     40    0     46    44   
46     40    0     0     45   
