node_number   x   y   node_id
1      0.000000     0.000000     0 
2      2.000000     0.000000     0 
3      2.000000     1.000000     0 
4      0.000000     1.000000     0 
5      0.222222     1.000000     1 
6      0.444444     1.000000     1 
7      0.666667     1.000000     1 
8      0.888889     1.000000     1 
9      1.111111     1.000000     1 
10     1.333333     1.000000     1 
11     1.555556     1.000000     1 
12     1.777778     1.000000     1 
13     2.000000     0.888889     1 
14     2.000000     0.777778     1 
15     2.000000     0.666667     1 
16     2.000000     0.555556     1 
17     2.000000     0.444444     1 
18     2.000000     0.333333     1 
19     2.000000     0.222222     1 
20     2.000000     0.111111     1 
21     1.777778     0.000000     1 
22     1.555556     0.000000     1 
23     1.333333     0.000000     1 
24     1.111111     0.000000     1 
25     0.888889     0.000000     1 
26     0.666667     0.000000     1 
27     0.444444     0.000000     1 
28     0.222222     0.000000     1 
29     0.000000     0.111111     1 
30     0.000000     0.222222     1 
31     0.000000     0.333333     1 
32     0.000000     0.444444     1 
33     0.000000     0.555556     1 
34     0.000000     0.666667     1 
35     0.000000     0.777778     1 
36     0.000000     0.888889     1 
37     0.222222     0.111111     2 
38     0.222222     0.222222     2 
39     0.222222     0.333333     2 
40     0.222222     0.444444     2 
41     0.222222     0.555556     2 
42     0.222222     0.666667     2 
43     0.222222     0.777778     2 
44     0.222222     0.888889     2 
45     0.444444     0.111111     2 
46     0.444444     0.222222     2 
47     0.444444     0.333333     2 
48     0.444444     0.444444     2 
49     0.444444     0.555556     2 
50     0.444444     0.666667     2 
51     0.444444     0.777778     2 
52     0.444444     0.888889     2 
53     0.666667     0.111111     2 
54     0.666667     0.222222     2 
55     0.666667     0.333333     2 
56     0.666667     0.444444     2 
57     0.666667     0.555556     2 
58     0.666667     0.666667     2 
59     0.666667     0.777778     2 
60     0.666667     0.888889     2 
61     0.888889     0.111111     2 
62     0.888889     0.222222     2 
63     0.888889     0.333333     2 
64     0.888889     0.444444     2 
65     0.888889     0.555556     2 
66     0.888889     0.666667     2 
67     0.888889     0.777778     2 
68     0.888889     0.888889     2 
69     1.111111     0.111111     2 
70     1.111111     0.222222     2 
71     1.111111     0.333333     2 
72     1.111111     0.444444     2 
73     1.111111     0.555556     2 
74     1.111111     0.666667     2 
75     1.111111     0.777778     2 
76     1.111111     0.888889     2 
77     1.333333     0.111111     2 
78     1.333333     0.222222     2 
79     1.333333     0.333333     2 
80     1.333333     0.444444     2 
81     1.333333     0.555556     2 
82     1.333333     0.666667     2 
83     1.333333     0.777778     2 
84     1.333333     0.888889     2 
85     1.555556     0.111111     2 
86     1.555556     0.222222     2 
87     1.555556     0.333333     2 
88     1.555556     0.444444     2 
89     1.555556     0.555556     2 
90     1.555556     0.666667     2 
91     1.555556     0.777778     2 
92     1.555556     0.888889     2 
93     1.777778     0.111111     2 
94     1.777778     0.222222     2 
95     1.777778     0.333333     2 
96     1.777778     0.444444     2 
97     1.777778     0.555556     2 
98     1.777778     0.666667     2 
99     1.777778     0.777778     2 
100    1.777778     0.888889     2 
