node_number   x   y   node_id
1      -1.000000    -1.000000    0 
2      -1.000000    -0.750000    1 
3      -1.000000    -0.500000    1 
4      -1.000000    -0.250000    1 
5      -1.000000    -0.000000    0 
6      -0.820335    -0.177564    2 
7      -0.817148    -0.822986    2 
8      -0.803595    -0.383014    2 
9      -0.796669    -0.618615    2 
10     -0.714286    -1.000000    1 
11     -0.714286    0.000000     1 
12     -0.634770    -0.500029    2 
13     -0.583796    -0.254804    2 
14     -0.574786    -0.746317    2 
15     -0.428571    -1.000000    1 
16     -0.428571    0.000000     1 
17     -0.415001    -0.497396    2 
18     -0.288314    -0.246337    2 
19     -0.286003    -0.737237    2 
20     -0.142857    -1.000000    1 
21     -0.142857    0.000000     1 
22     -0.141532    -0.494974    2 
23     -0.001005    -0.746894    2 
24     -0.000615    -0.248220    2 
25     0.142569     -0.499370    2 
26     0.142857     -1.000000    1 
27     0.142857     0.000000     1 
28     0.283587     -0.248642    2 
29     0.287122     -0.748262    2 
30     0.413719     -0.496318    2 
31     0.428571     -1.000000    1 
32     0.428571     0.000000     1 
33     0.583004     -0.257575    2 
34     0.584413     -0.743603    2 
35     0.636485     -0.499137    2 
36     0.714286     -1.000000    1 
37     0.714286     0.000000     1 
38     0.797059     -0.381457    2 
39     0.804232     -0.616730    2 
40     0.818870     -0.177806    2 
41     0.820586     -0.822067    2 
42     1.000000     -1.000000    0 
43     1.000000     -0.750000    1 
44     1.000000     -0.500000    1 
45     1.000000     -0.250000    1 
46     1.000000     0.000000     0 
